,RPM (1/s),L/S Ratio,FlowRate (kg/hr),Temperature,nCE,Granulator diameter (mm),L/D Ratio,SA of KE,n KE,Intial D50,Binder Viscosity (mPa.s),Flowability (HR),Bulk Density,nKZ,dKZ,MRT,Exp Fill level,Torque,d50,Beta,Regime,DetTorque,RanTorque,DetMRT,RanMRT,Calc Fill level,Calc Fill volume,Calc Beta,Torque / Fill Volume
62,400,0.3,5.0,25.0,25.0,16,25,0,0,55.415,0.076,1.26,1520,0,0.0,,,,,0.0202,C,5.484746435,3.862084033,36.81583421,7.075969095,0.5681243653612172,71920.4314343249,0.015252262328288364,76261.31164144182
63,400,0.25,3.5,25.0,18.0,16,25,60,16,55.415,0.001,1.26,1520,2,6.0,,,,,0.0192,C,1.828134493,3.5387619530000003,35.89405192,16.80388383,0.38772990299993004,49084.65156108003,0.007448904840345474,37244.52420172737
64,400,0.3,3.5,25.0,18.0,16,25,60,16,55.415,0.001,1.26,1520,2,6.0,,,,,0.0158,C,1.962238383,2.513637203,41.85974367,24.52858939,0.4521716965514167,57242.65783805874,0.006855860496733864,34279.30248366932
65,400,0.4,3.5,25.0,18.0,16,25,60,16,55.415,0.001,1.26,1520,2,6.0,,,,,0.0143,C,2.176289094,1.222564519,63.96266842,30.2145019,0.690928939351222,87468.12144001038,0.004976188028669618,24880.94014334809
66,400,0.25,3.5,25.0,18.0,16,25,60,16,55.415,0.015,1.26,1520,2,6.0,,,,,0.0115,G,2.150811605,1.1406599370000001,74.23674006,27.37746046,0.8019101350454284,101517.78146967062,0.004237310102452495,21186.550512262475
67,400,0.3,3.5,25.0,18.0,16,25,60,16,55.415,0.015,1.26,1520,2,6.0,,,,,0.0107,G,2.166692353,1.80378184,56.33913901,31.33349453,0.6085790746648831,77043.0436140379,0.005624628133474235,28123.14066737117
68,400,0.4,3.5,25.0,18.0,16,25,60,16,55.415,0.015,1.26,1520,2,6.0,,,,,0.0096,G,2.229091309,0.786899363,47.83121919,26.75380627,0.5166759667657798,65408.57334567522,0.006815899491400193,34079.497457000965
69,400,0.25,3.5,25.0,18.0,16,25,60,16,55.415,0.076,1.26,1520,2,6.0,,,,,0.0096,LG,2.648680174,1.148749622,58.00538942,19.82240364,0.6265780208769968,79321.61948980257,0.006678331055357509,33391.65527678755
70,400,0.3,3.5,25.0,18.0,16,25,60,16,55.415,0.076,1.26,1520,2,6.0,,,,,0.0075,LG,2.797798676,2.2199470569999997,67.00177456,24.60245037,0.723757563199401,91624.05976292565,0.006107126628615269,30535.633143076346
71,400,0.4,3.5,25.0,18.0,16,25,60,16,55.415,0.076,1.26,1520,2,6.0,,,,,0.0071,LG,2.9653389939999997,0.675024906,79.71659547,15.74130262,0.8611038925879996,109011.41283802211,0.005440419341057689,27202.096705288444
72,200,0.111111111,1.62,35.0,37.5,16,40,60,12,60.0,0.1,1.2,1602,2,8.5,39.2,12.2,,,,,2.425281863,2.8483937000000004,39.2,39.2,0.11622537084825968,24308.938452696646,0.019953827829375725,99769.13914687863
73,200,0.10957004199999999,4.3260000000000005,35.0,37.5,16,40,60,12,60.0,0.1,1.2,1602,2,8.5,34.7,24.0,,,,,2.568536026,3.594909355,34.7,34.7,0.2747361758920403,57462.02177498881,0.008939943102099456,44699.715510497284
74,500,0.10946745599999999,4.056,35.0,37.5,16,40,60,12,60.0,0.1,1.2,1602,2,8.5,25.5,14.1,,,,,2.195908092,2.711599657,25.5,25.5,0.18929449571828225,39591.59873843392,0.011092798280299307,55463.99140149654
75,500,0.10987791300000001,10.812000000000001,35.0,37.5,16,40,60,12,60.0,0.1,1.2,1602,2,8.5,21.3,30.3,,,,,2.652129504,4.392527982,21.3,21.3,0.42148827656088533,88155.73139214606,0.006016919063838162,30084.595319190812
76,350,0.109677419,1.86,35.0,37.5,16,40,60,12,60.0,0.1,1.2,1602,2,8.5,42.6,10.9,,,,,2.284054663,1.5670496219999999,42.6,42.6,0.14501816396656433,30331.050756454253,0.015060834399309216,75304.17199654608
77,350,0.11025280900000001,8.544,35.0,37.5,16,40,60,12,60.0,0.1,1.2,1602,2,8.5,22.3,30.5,,,,,2.6579631530000003,4.28438401,22.3,22.3,0.34871125249061363,72934.16499934546,0.007288664106934943,36443.32053467471
78,138,0.111111111,2.052,35.0,37.5,16,40,60,12,60.0,0.1,1.2,1602,2,8.5,46.7,18.6,,,,,2.55593207,1.794454178,46.7,46.7,0.17538566590758636,36682.51885897572,0.013935422918072581,69677.11459036291
79,562,0.109834889,8.357999999999999,35.0,37.5,16,40,60,12,60.0,0.1,1.2,1602,2,8.5,16.9,18.7,,,,,2.395261805,1.7747752559999999,16.9,16.9,0.2585168946427129,54069.70298297886,0.008859903690442053,44299.518452210265
80,350,0.109573241,5.202000000000001,35.0,37.5,16,40,60,12,60.0,0.1,1.2,1602,2,8.5,25.9,16.2,,,,,2.432695674,3.473551823,25.9,25.9,0.24658688303183343,51574.49977672325,0.009433715051165388,47168.57525582694
81,350,0.109573241,5.202000000000001,35.0,37.5,16,40,60,12,60.0,0.1,1.2,1602,2,8.5,27.6,18.4,,,,,2.441117787,3.300710584,27.6,27.6,0.26277212245863324,54959.69860376685,0.008883301215311576,44416.50607655788
