,RPM ,L/S Ratio,FlowRate (kg/hr),Temperature,nCE,Granulator diameter (mm),L/D Ratio,SA of KE,n KE,Intial D50,Binder Viscosity (mPa.s),Flowability (HR),Bulk Density,nKZ,dKZ,MRT,Torque,Torque_imp,MRT_imp,DetTorque,DetMRT
139,900.0,0.1,25.0,25.0,18.0,25.0,20.0,60.0,12.0,40.0,0.0069,1.46,1520.0,2.0,3.0,,2.18,2.18,25.9,,
140,400.0,0.25,3.5,25.0,25.0,16.0,25.0,0.0,0.0,55.415,0.001,1.26,1520.0,0.0,0.0,,,1.4,20.1,,
141,400.0,0.3,3.5,25.0,25.0,16.0,25.0,0.0,0.0,55.415,0.001,1.26,1520.0,0.0,0.0,,,0.87,25.5,,
142,400.0,0.4,3.5,25.0,25.0,16.0,25.0,0.0,0.0,55.415,0.001,1.26,1520.0,0.0,0.0,,,1.28,14.8,,
143,400.0,0.25,3.5,25.0,25.0,16.0,25.0,0.0,0.0,55.415,0.015,1.26,1520.0,0.0,0.0,,,1.28,46.7,,
144,400.0,0.3,3.5,25.0,25.0,16.0,25.0,0.0,0.0,55.415,0.015,1.26,1520.0,0.0,0.0,,,1.55,11.5,,
145,400.0,0.4,3.5,25.0,25.0,16.0,25.0,0.0,0.0,55.415,0.015,1.26,1520.0,0.0,0.0,,,1.9,12.4,,
146,400.0,0.25,3.5,25.0,25.0,16.0,25.0,0.0,0.0,55.415,0.076,1.26,1520.0,0.0,0.0,,,6.6,34.72222222,,
147,400.0,0.3,3.5,25.0,25.0,16.0,25.0,0.0,0.0,55.415,0.076,1.26,1520.0,0.0,0.0,,,3.53,12.3,,
148,400.0,0.4,3.5,25.0,25.0,16.0,25.0,0.0,0.0,55.415,0.076,1.26,1520.0,0.0,0.0,,,1.55,4.8611111110000005,,
149,400.0,0.3,2.0,25.0,18.0,16.0,25.0,60.0,16.0,55.415,0.001,1.26,1520.0,2.0,6.0,,,2.2,53.3,,
150,400.0,0.3,3.5,25.0,18.0,16.0,25.0,60.0,16.0,55.415,0.001,1.26,1520.0,2.0,6.0,,,1.24,4.8611111110000005,,
151,400.0,0.3,5.0,25.0,18.0,16.0,25.0,60.0,16.0,55.415,0.001,1.26,1520.0,2.0,6.0,,,1.84,14.8,,
152,400.0,0.3,2.0,25.0,18.0,16.0,25.0,60.0,16.0,55.415,0.015,1.26,1520.0,2.0,6.0,,,4.4,16.45,,
153,400.0,0.3,3.5,25.0,18.0,16.0,25.0,60.0,16.0,55.415,0.015,1.26,1520.0,2.0,6.0,,,2.45,38.19444444,,
154,400.0,0.3,5.0,25.0,18.0,16.0,25.0,60.0,16.0,55.415,0.015,1.26,1520.0,2.0,6.0,,,1.56,34.72222222,,
155,400.0,0.3,2.0,25.0,18.0,16.0,25.0,60.0,16.0,55.415,0.076,1.26,1520.0,2.0,6.0,,,2.21,14.2,,
156,400.0,0.3,3.5,25.0,18.0,16.0,25.0,60.0,16.0,55.415,0.076,1.26,1520.0,2.0,6.0,,,2.2,27.77777778,,
157,400.0,0.3,5.0,25.0,18.0,16.0,25.0,60.0,16.0,55.415,0.076,1.26,1520.0,2.0,6.0,,,2.51,38.19444444,,
158,100.0,0.09,1.0,25.0,15.0,16.0,25.0,60.0,16.0,170.0,0.565,1.2,1180.0,2.0,7.0,41.14,,1.9,41.14,,
159,300.0,0.09,1.0,25.0,15.0,16.0,25.0,60.0,16.0,170.0,0.565,1.2,1180.0,2.0,7.0,20.1,,3.63,20.1,,
160,500.0,0.09,1.0,25.0,15.0,16.0,25.0,60.0,16.0,170.0,0.565,1.2,1180.0,2.0,7.0,16.45,,2.35,16.45,,
161,900.0,0.09,1.0,25.0,15.0,16.0,25.0,60.0,16.0,170.0,0.565,1.2,1180.0,2.0,7.0,12.3,,1.28,12.3,,
162,100.0,0.09,2.0,25.0,15.0,16.0,25.0,60.0,16.0,170.0,0.565,1.2,1180.0,2.0,7.0,30.75,,2.79,30.75,,
163,300.0,0.09,2.0,25.0,15.0,16.0,25.0,60.0,16.0,170.0,0.565,1.2,1180.0,2.0,7.0,18.4,,4.9,18.4,,
164,500.0,0.09,2.0,25.0,15.0,16.0,25.0,60.0,16.0,170.0,0.565,1.2,1180.0,2.0,7.0,14.2,,2.16,14.2,,
165,900.0,0.09,2.0,25.0,15.0,16.0,25.0,60.0,16.0,170.0,0.565,1.2,1180.0,2.0,7.0,11.5,,3.8,11.5,,
166,100.0,0.09,3.0,25.0,15.0,16.0,25.0,60.0,16.0,170.0,0.565,1.2,1180.0,2.0,7.0,25.35,,1.82,25.35,,
